	s1	s10	s11	s12	s13	s14	s15	s16	s17	s18	s19	s2	s20	s21	s22	s23	s24	s25	s26	s27	s28	s29	s3	s30	s31	s32	s33	s34	s35	s36	s37	s38	s39	s4	s40	s41	s42	s43	s44	s45	s46	s47	s48	s5	s6	s7	s8	s9
K02988	0.19	0.13	0.29	0.0	0.0	0.15	0.27	0.15	0.1706012378426172	0.1706012378426172	0.09	0.1	0.23	0.0	0.15	0.5	0.2	0.2	0.0	0.31	0.0	0.15	0.33	0.1706012378426172	0.15	0.15	0.2	0.45	0.4	0.15	0.14	0.18	0.16	0.13	0.18	0.52	0.25	0.29	0.13	0.2	0.18	0.08	0.25	0.13	0.18	0.14	0.29	0.15
K02970	0.2192307692307692	0.13	0.29	0.0	0.0	0.15	0.72	0.15	0.1703006189213086	0.1703006189213086	0.09	0.1	0.4194117647058824	0.0	0.15	0.5	0.2	0.2	0.0	0.31	0.0	0.15	0.33	0.1703006189213086	0.15	0.15	0.2	0.5	0.5	0.15	0.14	0.18	0.16	0.13	0.18	0.0	0.25	0.29	0.13	0.2	0.18	0.08	0.25	0.13	0.18	0.14	0.29	0.15
K01613	0.24846153846153846	0.13	0.3016	0.0	0.0	0.15810810810810808	0.27	0.15	0.0	0.0	0.09	0.1	0.23	0.0	0.15	0.5	0.22222222222222224	0.2	0.0	0.31	0.0	0.15	0.33	0.0	0.15	0.15	0.2	0.45	0.4	0.15	0.14	0.18442857142857141	0.20266666666666666	0.13134020618556702	0.18442857142857141	0.0	0.0	0.3016	0.13	0.0	0.18442857142857141	0.08	0.0	0.13	0.18442857142857141	0.14	0.3016	0.15810810810810808
K03210	0.19	0.13	0.29	0.0	0.0	0.15	0.27	0.15	0.17105216622458003	0.17105216622458003	0.09	0.1	0.23	0.0	0.15	0.5	0.2	0.2	0.0	0.31	0.0	0.15	0.33	0.17105216622458003	0.15	0.15	0.2	0.45	0.4	0.15	0.14	0.18	0.16	0.1306701030927835	0.18	0.52	0.25	0.29	0.13	0.25	0.18	0.08	0.25	0.13	0.18	0.14	0.29	0.15
K01760	0.19	0.26456140350877194	0.0	0.0	0.0	0.2087837837837838	0.36	0.15	0.17090185676392575	0.17090185676392575	0.09	0.10039370078740158	0.23	0.0	0.15	0.5	0.22222222222222224	0.0	0.0	0.0	0.0	0.15	0.41425531914893615	0.17090185676392575	0.1558441558441558	0.15	0.2	0.9	0.8	0.0	0.14021571648690295	0.0	0.18133333333333332	0.13	0.0	0.0	0.4	0.0	0.26456140350877194	0.2	0.0	0.08	0.4	0.26456140350877194	0.0	0.14	0.0	0.2087837837837838
K01925	0.19	0.13	0.29	0.0	0.0	0.15	0.27	0.15	0.17	0.17	0.09	0.1	0.23	0.0	0.15	0.5	0.2	0.2	0.0	0.31	0.0	0.15	0.33	0.17	0.15	0.15	0.2	0.45	0.4	0.15	0.14	0.18	0.16	0.13	0.18	0.52	0.25	0.29	0.13	0.2	0.18	0.08	0.25	0.13	0.18	0.14	0.29	0.15
K02931	0.19	0.13	0.29	0.0	0.0	0.15	0.27	0.15	0.1703006189213086	0.1703006189213086	0.09	0.1	0.23	0.0	0.15	0.5	0.2	0.2	0.0	0.31	0.0	0.15	0.33	0.1703006189213086	0.15	0.15	0.2	0.45	0.4	0.15	0.14	0.18	0.16	0.13	0.18	0.52	0.25	0.29	0.13	0.2	0.18	0.08	0.25	0.13	0.18	0.14	0.29	0.15
K03092	0.19	0.13	0.58	0.0	0.0	0.15405405405405403	0.36	0.15	0.0	0.0	0.1	0.1026246719160105	0.24352941176470588	0.0	0.15	0.5	0.2	0.2	0.0	0.31	0.0	0.15	0.33	0.0	0.15	0.15	0.2	0.45	0.4	0.15	0.14	0.18	0.16	0.1306701030927835	0.18	0.0	0.0	0.58	0.13	0.0	0.18	0.08	0.0	0.13	0.18	0.14	0.58	0.15405405405405403
K00339	0.3507692307692308	0.13	0.29	0.0	0.0	0.15	0.27	0.15	0.0	0.0	0.0	0.1	0.23	0.0	0.15	0.5	0.2	0.0	0.0	0.0	0.0	0.15	0.33	0.0	0.15	0.15	0.0	0.0	0.0	0.0	0.14	0.18	0.16	0.1306701030927835	0.18	0.0	0.0	0.29	0.13	0.0	0.18	0.08	0.0	0.13	0.18	0.14	0.29	0.15
K04487	0.5261538461538462	0.1368421052631579	0.0	0.0	0.0	0.15608108108108107	0.27	0.3	0.34856763925729445	0.34856763925729445	0.27	0.31666666666666665	0.24352941176470588	0.0	0.15714285714285714	0.5	0.4222222222222223	0.21666666666666667	0.0	0.3286	0.0	0.15714285714285714	0.7442553191489362	0.34856763925729445	0.15	0.15714285714285714	0.2	0.65	0.4	0.15	0.14	0.3814285714285714	0.16	0.14206185567010307	0.3814285714285714	0.9981609195402299	0.0	0.0	0.1368421052631579	0.4	0.3814285714285714	0.16444444444444442	0.0	0.1368421052631579	0.3814285714285714	0.18200000000000002	0.0	0.15608108108108107
K09458	0.2776923076923077	0.21210526315789474	0.5683999999999999	0.0	0.0	0.4743243243243243	0.99	0.51	0.17360742705570292	0.17360742705570292	0.15	0.1442257217847769	0.7305882352941176	0.0	0.32857142857142857	0.5	0.5555555555555556	0.2	0.0	0.31	0.0	0.32857142857142857	0.5265957446808511	0.17360742705570292	0.15	0.32857142857142857	0.30000000000000004	0.45	0.4	0.3	0.14	0.47185714285714286	0.2773333333333334	0.28010309278350515	0.47185714285714286	0.6754022988505748	0.25	0.5683999999999999	0.21210526315789474	0.2	0.47185714285714286	0.1688888888888889	0.25	0.21210526315789474	0.47185714285714286	0.47600000000000003	0.5683999999999999	0.4743243243243243
